"";"azimut.class";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;3;0,09375;4;"OSO"
"2";2;2;0,0625;4;"SSO"
"3";3;2;0,0625;4;"SSE"
"4";4;14;0,4375;4;"ESE"
"5";5;4;0,125;4;"ENE"
"6";7;5;0,15625;4;"NNO"
"7";8;2;0,0625;4;"ONO"
