"";"id";"id2";"track";"azimut";"prior";"azimut.class"
"1";1;1;"13";-54,1630845384354;"yes";3
"11";1;2;"14";-59,716279087317;"yes";3
"12";1;3;"17";81,7225439613566;"yes";6
"13";1;4;"19";152,592326683034;"no";8
"14";1;5;"1t";108,701934193652;"yes";7
"15";1;6;"2";143,535804885058;"no";8
"16";1;7;"21";0;"no";4
"17";1;8;"24";119,523023280171;"no";7
"18";1;9;"26";-118,516975325807;"yes";2
"19";1;10;"28";-138,640693975068;"no";1
"110";1;11;"32";-56,409124897007;"no";3
"111";1;12;"35";-25,651075713534;"no";4
"112";1;13;"39";115,432307884466;"yes";7
"113";1;14;"4";-173,140553986996;"no";1
"114";1;15;"40";-46,0298934638575;"no";3
"115";1;16;"41";-133,259683273364;"yes";2
"116";1;17;"42";145,467270967487;"yes";8
"117";1;18;"43";0;"no";4
"118";1;19;"44";147,538374259365;"yes";8
"119";1;20;"48";139,958674380946;"no";8
"120";1;21;"50";-52,6141574147033;"yes";3
"121";1;22;"51";-24,8142034787132;"yes";4
"122";1;23;"55";142,341707013601;"no";8
"123";1;24;"58";-14,1008110622191;"no";4
"124";1;25;"5t";-67,5242705140315;"yes";3
"125";1;26;"6";0;"yes";4
"126";1;27;"60ok";147,115820346686;"yes";8
"127";1;28;"61";-86,9304946549245;"no";3
"128";1;29;"63";-108,001658151297;"yes";2
"129";1;30;"65";-76,1022874849241;"yes";3
"130";1;31;"68";-14,7039310904448;"yes";4
"131";1;32;"6t";-162,438422427021;"yes";1
"132";1;33;"9";-52,2432064729667;"no";3
