"";"azimut.class";"azimut.name";"1";"2";"3";"4"
"1";1;"OSO";0,03125;0,015625;0,0909090909090909;0,09375
"2";2;"SSO";0,15625;0,34375;0,0909090909090909;0,0625
"3";3;"SSE";0,28125;0,09375;0,272727272727273;0,0625
"4";4;"ESE";0,109375;0,109375;0,212121212121212;0,4375
"5";5;"ENE";0,125;0,09375;NA;0,125
"6";6;"NNE";0,109375;0,1875;0,0303030303030303;NA
"7";7;"NNO";0,171875;0,03125;0,0909090909090909;0,15625
"8";8;"ONO";0,015625;0,125;0,212121212121212;0,0625
