"";"azimut.class";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;1;0,015625;2;"OSO"
"2";2;22;0,34375;2;"SSO"
"3";3;6;0,09375;2;"SSE"
"4";4;7;0,109375;2;"ESE"
"5";5;6;0,09375;2;"ENE"
"6";6;12;0,1875;2;"NNE"
"7";7;2;0,03125;2;"NNO"
"8";8;8;0,125;2;"ONO"
