"";"azimut.class";"prior";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;"no";2;0,0625;4;"OSO"
"2";1;"yes";1;0,03125;4;"OSO"
"3";2;"no";1;0,03125;4;"SSO"
"4";2;"yes";1;0,03125;4;"SSO"
"5";3;"no";1;0,03125;4;"SSE"
"6";3;"yes";1;0,03125;4;"SSE"
"7";4;"yes";9;0,28125;4;"ESE"
"8";4;"no";5;0,15625;4;"ESE"
"9";5;"no";3;0,09375;4;"ENE"
"10";5;"yes";1;0,03125;4;"ENE"
"11";7;"no";1;0,03125;4;"NNO"
"12";7;"yes";4;0,125;4;"NNO"
"13";8;"no";1;0,03125;4;"ONO"
"14";8;"yes";1;0,03125;4;"ONO"
