"";"azimut.class";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;3;0,0909090909090909;3;"OSO"
"2";2;3;0,0909090909090909;3;"SSO"
"3";3;9;0,272727272727273;3;"SSE"
"4";4;7;0,212121212121212;3;"ESE"
"5";6;1;0,0303030303030303;3;"NNE"
"6";7;3;0,0909090909090909;3;"NNO"
"7";8;7;0,212121212121212;3;"ONO"
