"";"azimut.class";"prior";"azimut.name";"1";"2";"3";"4"
"1";1;"no";"OSO";1;NA;2;2
"2";1;"yes";"OSO";1;1;1;1
"3";2;"no";"SSO";4;11;NA;1
"4";2;"yes";"SSO";6;11;3;1
"5";3;"no";"SSE";8;2;4;1
"6";3;"yes";"SSE";10;4;5;1
"7";4;"no";"ESE";5;3;4;5
"8";4;"yes";"ESE";2;4;3;9
"9";5;"no";"ENE";4;3;NA;3
"10";5;"yes";"ENE";4;3;NA;1
"11";6;"no";"NNE";1;6;NA;NA
"12";6;"yes";"NNE";6;6;1;NA
"13";7;"no";"NNO";8;2;1;1
"14";7;"yes";"NNO";3;NA;2;4
"15";8;"no";"ONO";1;5;4;1
"16";8;"yes";"ONO";NA;3;3;1
