"";"azimut.class";"prior";"count";"freq.rel";"aoi.id";"azimut.name"
"1";1;"yes";1;0,0303030303030303;3;"OSO"
"2";1;"no";2;0,0606060606060606;3;"OSO"
"3";2;"yes";3;0,0909090909090909;3;"SSO"
"4";3;"yes";5;0,151515151515152;3;"SSE"
"5";3;"no";4;0,121212121212121;3;"SSE"
"6";4;"no";4;0,121212121212121;3;"ESE"
"7";4;"yes";3;0,0909090909090909;3;"ESE"
"8";6;"yes";1;0,0303030303030303;3;"NNE"
"9";7;"no";1;0,0303030303030303;3;"NNO"
"10";7;"yes";2;0,0606060606060606;3;"NNO"
"11";8;"yes";3;0,0909090909090909;3;"ONO"
"12";8;"no";4;0,121212121212121;3;"ONO"
